,launch_speed,launch_angle,woba_value
3503,60.9,80.0,0.0
3508,89.4,19.0,0.9
3509,102.2,5.0,0.9
3520,109.9,25.0,2.0
3522,92.6,-5.0,0.9
3523,101.4,17.0,1.25
3533,49.2,-65.0,0.0
3542,104.5,-14.0,0.0
3550,89.3,30.0,0.0
3553,100.8,11.0,0.9
3559,95.5,26.0,0.0
3565,79.4,53.0,0.0
3567,85.7,-18.0,0.0
3572,78.6,20.0,0.9
3574,99.6,38.0,0.0
3576,88.4,74.0,0.0
3579,98.1,33.0,1.25
3582,94.9,-10.0,0.0
3587,105.6,13.0,1.25
3601,86.4,-63.0,0.0
3603,87.5,20.0,1.25
3610,80.8,-25.0,0.0
3625,64.8,2.0,0.0
3639,51.6,-62.0,0.9
3644,99.6,-4.0,1.25
3650,95.2,11.0,0.9
3652,96.7,25.0,0.0
3662,49.7,-34.0,0.9
3667,89.7,26.0,0.0
3671,104.4,4.0,0.9
3676,105.1,9.0,0.9
3680,100.7,30.0,0.0
3685,70.8,24.0,0.9
3697,83.4,23.0,0.0
3705,104.7,14.0,0.0
3711,96.4,58.0,0.0
3713,97.8,-2.0,0.0
3718,76.7,38.0,0.0
3729,94.4,26.0,0.0
3732,64.5,-56.0,0.9
3738,71.1,73.0,0.0
3742,69.5,-1.0,0.0
3745,67.8,71.0,0.0
3755,105.2,16.0,0.0
3764,95.8,13.0,1.25
3770,86.1,34.0,0.0
3792,84.4,77.0,0.0
3795,98.8,-19.0,0.0
3798,79.5,60.0,0.0
3805,73.3,34.0,0.0
3811,100.2,-1.0,0.0
3831,85.4,28.0,0.0
3842,77.0,29.0,0.0
3843,106.8,8.0,0.9
3845,100.2,-5.0,0.0
3848,60.7,-39.0,0.0
3856,68.4,-27.0,1.25
3857,84.7,55.0,0.0
3858,103.8,2.0,0.0
3865,78.5,7.0,0.0
3867,88.0,26.0,0.0
3878,65.1,35.0,0.9
3889,99.3,-9.0,0.0
3892,100.6,45.0,0.0
3894,50.4,-78.0,0.0
3899,89.9,72.0,0.0
3901,89.9,-13.0,0.0
3905,102.6,-23.0,0.0
3908,118.6,3.0,0.0
3911,105.4,-18.0,0.0
3918,98.0,36.0,0.0
3919,102.6,2.0,0.9
3921,93.5,65.0,0.0
3927,81.2,18.0,0.0
3931,73.3,30.0,0.0
3934,50.2,53.0,0.0
3936,72.6,71.0,0.0
3965,80.4,29.0,0.0
3972,73.2,15.0,0.0
3982,77.4,-30.0,0.0
3996,32.4,39.0,0.9
4000,87.4,40.0,0.0
4002,36.4,-46.0,0.0
4003,104.9,-19.0,0.9
4010,81.7,11.0,0.9
4019,89.2,13.0,1.25
4021,102.3,6.0,0.9
4027,102.9,1.0,0.0
4031,73.0,-34.0,0.0
4034,92.3,44.0,0.0
4035,87.1,10.0,0.9
4038,88.9,-10.0,0.0
4043,105.3,14.0,0.9
4046,99.6,45.0,0.0
4049,97.4,6.0,0.9
4050,108.8,16.0,0.0
4055,97.8,-11.0,0.0
4059,67.1,-4.0,0.0
4067,60.7,-64.0,0.0
4077,83.9,51.0,0.0
4080,85.0,-41.0,0.0
4084,99.4,-3.0,0.0
4087,87.6,21.0,0.9
4099,93.3,-27.0,0.0
4102,80.8,-40.0,0.0
4103,98.7,-10.0,0.9
4105,97.8,-27.0,0.0
4112,90.6,0.0,0.0
4118,105.7,26.0,2.0
4119,109.0,5.0,0.0
4122,88.1,-1.0,0.9
4126,74.9,49.0,0.0
4132,105.5,19.0,1.25
4137,79.5,29.0,0.0
4143,103.2,18.0,0.0
4146,105.1,9.0,0.9
4150,94.3,-2.0,0.0
4159,91.0,25.0,0.0
4166,77.7,22.0,0.9
4176,99.6,45.0,0.0
4184,61.0,-22.0,0.0
4205,68.2,17.0,0.0
4210,85.5,36.0,0.0
4217,80.0,67.0,0.0
4222,87.5,52.0,0.0
4231,100.0,1.0,0.0
4232,99.3,-1.0,0.0
4235,101.7,8.0,0.9
4247,103.4,37.0,0.0
4249,101.3,11.0,0.9
4261,100.4,-14.0,0.0
4277,93.9,25.0,0.0
4284,87.0,-5.0,0.0
4285,71.8,48.0,1.6
4301,91.1,7.0,0.9
4303,79.2,40.0,0.0
4310,94.4,12.0,1.25
4322,48.0,-60.0,0.9
4331,109.8,22.0,2.0
4337,85.0,15.0,0.9
4344,88.7,19.0,0.0
4346,97.0,34.0,0.0
4352,98.2,0.0,0.9
4356,83.7,41.0,0.0
4359,101.8,-3.0,0.0
4361,95.8,34.0,0.0
4371,19.0,43.0,0.0
4379,96.6,-8.0,0.0
4385,80.2,5.0,0.9
4393,54.3,-51.0,0.0
4401,97.1,14.0,0.9
4403,97.7,21.0,1.25
4410,96.2,39.0,0.0
4414,77.3,10.0,0.9
4416,97.0,-11.0,1.25
4419,33.9,21.0,0.0
4426,84.4,-14.0,0.0
4431,83.1,40.0,0.0
4447,96.3,47.0,0.0
4453,94.1,-6.0,0.9
4459,84.5,68.0,0.0
4463,84.8,62.0,0.0
4464,108.5,11.0,0.9
4465,112.9,20.0,2.0
4468,80.1,52.0,0.0
4479,76.6,-8.0,0.0
4484,87.4,3.0,0.0
4489,78.3,84.0,0.0
4492,98.5,-16.0,0.0
4496,73.8,-49.0,0.0
4509,62.0,-45.0,0.0
4515,76.7,80.0,0.0
4517,80.2,-37.0,0.0
4519,97.5,-3.0,0.0
4520,102.6,-4.0,0.9
4523,104.3,23.0,0.0
4533,90.2,37.0,0.0
4542,104.1,22.0,0.0
4548,52.4,-37.0,0.0
4550,93.4,31.0,0.0
4556,88.0,35.0,0.0
4558,101.2,-7.0,0.0
4559,92.0,36.0,0.0
4571,89.9,29.0,0.0
4580,47.9,-30.0,0.0
4587,92.9,-3.0,0.0
4595,96.5,8.0,0.9
4599,96.9,25.0,2.0
4611,88.6,65.0,0.0
4614,98.1,40.0,0.0
4615,99.2,3.0,0.9
4627,75.6,-33.0,0.0
4633,54.9,18.0,0.0
4639,83.0,-23.0,0.0
4640,89.5,-28.0,0.0
4645,93.6,30.0,0.0
4651,102.2,-4.0,0.9
4654,99.3,7.0,0.9
4664,100.6,22.0,1.25
4668,98.6,2.0,0.9
4683,94.3,6.0,1.25
4695,81.2,-6.0,0.0
4698,85.5,-3.0,0.0
4701,93.7,31.0,0.0
4712,98.8,32.0,0.0
4716,104.8,-6.0,0.9
4722,91.3,-17.0,0.0
4727,74.0,35.0,0.0
4730,93.3,33.0,0.0
4732,77.0,-27.0,0.0
4737,80.6,34.0,0.0
4740,98.0,-16.0,0.0
4741,102.3,5.0,0.0
4746,94.1,-1.0,0.9
4750,81.8,11.0,0.9
4752,80.3,-14.0,0.0
4760,106.1,-4.0,0.9
4762,84.7,-8.0,0.0
4763,74.6,-28.0,0.0
4764,90.9,49.0,0.0
4779,104.5,10.0,0.9
4788,100.6,7.0,0.9
4790,84.9,17.0,0.9
4794,70.5,-44.0,0.0
4799,77.7,13.0,0.9
4804,107.5,-9.0,0.0
4807,94.2,-29.0,0.0
4808,57.5,52.0,0.0
4814,89.1,44.0,0.0
4818,104.7,-26.0,0.9
4825,76.4,31.0,0.0
4827,103.1,13.0,0.9
4831,105.6,6.0,0.0
